epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5892,1.04813,1.89707,1.34159,0.72161,0.62853,0.66114,0.46982,1.02073,1.32106,1.33209,0.000552011,0.000552011,0.000552011
2,122.846,1.10476,1.12242,1.34206,0.55999,0.54944,0.60389,0.38473,1.21204,1.25856,1.47718,0.000998018,0.000998018,0.000998018
3,178.243,1.08398,1.06898,1.32822,0.64483,0.61464,0.62073,0.42631,1.06479,1.07522,1.33285,0.001334,0.001334,0.001334
4,233.29,1.03611,0.98914,1.28062,0.74657,0.73853,0.71495,0.53552,0.85456,0.98107,1.16829,0.0011719,0.0011719,0.0011719
5,291.774,0.97233,0.88889,1.23552,0.83637,0.80619,0.80533,0.6176,0.79892,0.79878,1.10767,0.00100687,0.00100687,0.00100687
6,346.376,0.88703,0.78041,1.17226,0.80513,0.70481,0.7564,0.62142,0.72869,0.74396,1.06944,0.000841835,0.000841835,0.000841835
7,401.289,0.83868,0.72221,1.14512,0.74808,0.69092,0.76487,0.62221,0.69734,0.70627,1.01901,0.000676802,0.000676802,0.000676802
8,456.807,0.79218,0.67223,1.10314,0.77295,0.80213,0.82798,0.69318,0.6648,0.64342,1.01112,0.000511769,0.000511769,0.000511769
9,514.711,0.73004,0.59794,1.07213,0.73676,0.79507,0.83741,0.7246,0.60521,0.63567,0.96088,0.000346736,0.000346736,0.000346736
10,570.287,0.67239,0.53825,1.03466,0.75275,0.76572,0.8488,0.75256,0.55232,0.58462,0.9178,0.000181703,0.000181703,0.000181703
