epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3575,1.37221,3.11297,1.46718,0.69634,0.29147,0.33976,0.22646,1.09978,3.04956,1.18868,0.0002375,0.0002375,0.0002375
2,30.1112,1.06686,1.65544,1.22436,0.63536,0.29539,0.3134,0.21345,1.14098,1.99502,1.18506,0.000439238,0.000439238,0.000439238
3,37.8038,1.14788,1.57244,1.25171,0.71879,0.32338,0.32767,0.2138,1.10154,1.62292,1.1552,0.000591475,0.000591475,0.000591475
4,48.1028,1.12514,1.37539,1.22813,0.70632,0.35202,0.44786,0.28631,1.23009,1.68149,1.28369,0.000694212,0.000694212,0.000694212
5,55.534,1.0983,1.30499,1.23042,0.41007,0.55999,0.47563,0.31385,1.13938,2.0148,1.21113,0.00074745,0.00074745,0.00074745
6,66.2678,1.06302,1.26184,1.20598,0.69028,0.32579,0.40215,0.27974,1.14673,1.49152,1.21915,0.00063125,0.00063125,0.00063125
7,73.7573,1.04646,1.176,1.20179,0.38655,0.67988,0.56439,0.40575,0.96837,1.08167,1.11822,0.0005075,0.0005075,0.0005075
8,83.7815,1.00721,1.10879,1.18168,0.50905,0.64723,0.58158,0.42327,0.92693,1.05244,1.09498,0.00038375,0.00038375,0.00038375
9,91.8759,0.95291,1.01882,1.14969,0.49937,0.68897,0.58553,0.4371,0.88792,0.96655,1.07674,0.00026,0.00026,0.00026
10,101.814,0.89266,0.99845,1.12795,0.59403,0.58658,0.59614,0.4553,0.85126,0.99685,1.06774,0.00013625,0.00013625,0.00013625
