epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3716,1.96179,4.51618,2.10162,0.69595,0.04167,0.01842,0.00718,2.44803,3.68268,2.40563,0.000471423,0.000471423,0.000471423
2,92.8722,2.13218,3.49541,2.18885,0.36255,0.0463,0.02017,0.00709,2.51077,4.04572,2.74695,0.000853928,0.000853928,0.000853928
3,135.685,2.11338,3.42305,2.18731,0.36254,0.12519,0.01691,0.00682,2.52257,14.3179,2.54352,0.00114212,0.00114212,0.00114212
4,176.879,2.10934,3.41554,2.15136,0.39648,0.06878,0.03911,0.01559,2.14999,3.41777,2.20508,0.00100459,0.00100459,0.00100459
5,218.203,2.05186,3.28181,2.11422,0.43736,0.06372,0.04637,0.0188,2.1697,3.1973,2.17086,0.000863116,0.000863116,0.000863116
6,259.33,1.97918,3.18826,2.06557,0.08324,0.12157,0.0535,0.02284,2.03401,3.19071,2.07068,0.000721645,0.000721645,0.000721645
7,301.74,1.92064,3.11008,1.99756,0.44854,0.12326,0.06577,0.03005,2.00788,3.07635,2.06461,0.000580174,0.000580174,0.000580174
8,342.656,1.84614,2.98466,1.94475,0.14282,0.14155,0.08426,0.04005,1.95929,3.01259,1.97849,0.000438703,0.000438703,0.000438703
9,384.15,1.8479,2.94502,1.92356,0.12817,0.14669,0.08204,0.04026,1.86773,2.93996,1.95269,0.000297232,0.000297232,0.000297232
10,425.422,1.7431,2.84614,1.8736,0.19079,0.14746,0.09755,0.04679,1.84415,2.90268,1.91315,0.000155761,0.000155761,0.000155761
