epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.25,0.51755,1.33711,1.03129,0.4497,0.67473,0.34969,0.31585,0.43947,1.03408,0.82095,0.000369904,0.000369904,0.000369904
2,659.379,0.47441,1.09623,1.00031,0.31589,0.69236,0.37213,0.34322,0.38876,0.89643,0.78634,0.000666954,0.000666954,0.000666954
3,976.161,0.4413,1.05357,0.98475,0.28808,0.72068,0.37193,0.34475,0.36416,0.85567,0.77529,0.000890678,0.000890678,0.000890678
4,1292,0.40387,1.00892,0.96752,0.53117,0.70637,0.38352,0.36034,0.31539,0.7856,0.74843,0.000781033,0.000781033,0.000781033
5,1606.61,0.37189,0.96845,0.95161,0.54561,0.71635,0.38555,0.366,0.29762,0.77132,0.73514,0.000671044,0.000671044,0.000671044
6,1921.04,0.34184,0.93282,0.93778,0.53,0.73349,0.38549,0.36653,0.28518,0.75757,0.7249,0.000561055,0.000561055,0.000561055
7,2234.52,0.32064,0.90104,0.9286,0.54798,0.73436,0.39277,0.37377,0.26846,0.73594,0.71687,0.000451066,0.000451066,0.000451066
8,2551.74,0.29863,0.87759,0.9182,0.5573,0.70799,0.39041,0.36989,0.26656,0.74348,0.71727,0.000341077,0.000341077,0.000341077
9,2867.38,0.28226,0.84972,0.91174,0.57036,0.74105,0.3968,0.37791,0.24453,0.68803,0.70428,0.000231088,0.000231088,0.000231088
10,3185.13,0.26455,0.82509,0.90462,0.56826,0.74561,0.40368,0.38366,0.2308,0.67276,0.69506,0.000121099,0.000121099,0.000121099
