epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.925,1.4528,2.89734,1.7397,0.60253,0.39104,0.41547,0.26758,1.71532,2.76587,2.19336,0.000332642,0.000332642,0.000332642
2,402.026,1.53022,2.05465,1.8024,0.35367,0.28192,0.27645,0.17336,1.68718,3.09603,2.07977,0.000600044,0.000600044,0.000600044
3,592.399,1.48652,1.89623,1.7583,0.61766,0.45842,0.4655,0.31208,1.4859,2.51324,1.88211,0.000801445,0.000801445,0.000801445
4,782.647,1.40728,1.72481,1.68858,0.41658,0.5052,0.44464,0.28804,1.52838,2.38065,1.90564,0.000703,0.000703,0.000703
5,973.674,1.32142,1.53102,1.59154,0.5519,0.5729,0.56858,0.39976,1.39682,1.92257,1.74359,0.000604,0.000604,0.000604
6,1162.89,1.26779,1.37716,1.549,0.5772,0.53941,0.59177,0.42596,1.25661,1.78007,1.65749,0.000505,0.000505,0.000505
7,1352.72,1.21371,1.24137,1.49096,0.7644,0.58279,0.6686,0.48474,1.29405,1.69541,1.66497,0.000406,0.000406,0.000406
8,1541.87,1.15799,1.10597,1.4406,0.67714,0.65293,0.69515,0.50239,1.27844,1.46599,1.62038,0.000307,0.000307,0.000307
9,1732.15,1.10902,0.99417,1.39429,0.65236,0.69722,0.74451,0.53568,1.23876,1.36218,1.61977,0.000208,0.000208,0.000208
10,1926.45,1.06326,0.90369,1.35739,0.75312,0.6961,0.76509,0.56624,1.18219,1.32264,1.53817,0.000109,0.000109,0.000109
