epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.05,1.57265,11.6857,2.17259,0.24343,0.27431,0.21556,0.14053,0.87902,5.21185,1.75234,0.00011669,0.00011669,0.00011669
2,17.7402,1.22916,8.08979,1.8911,0.43686,0.66319,0.58694,0.30447,1.07392,5.38967,2.62675,0.000225295,0.000225295,0.000225295
3,21.4647,0.94973,3.88079,1.79809,0.41513,0.93636,0.53006,0.29918,1.48797,4.83113,3.67977,0.000307495,0.000307495,0.000307495
4,24.8623,0.74384,2.76464,1.50491,0.53816,0.71528,0.55771,0.33835,1.35748,4.17063,3.43192,0.000363289,0.000363289,0.000363289
5,28.569,0.79812,2.04774,1.56781,0.43143,0.88194,0.53038,0.35214,1.26743,2.63485,3.10513,0.000392679,0.000392679,0.000392679
6,33.789,0.78049,1.66609,1.56205,0.42895,0.63542,0.61197,0.44534,1.21371,3.22206,2.64977,0.000395662,0.000395662,0.000395662
7,37.7339,0.78205,1.52232,1.52427,0.37627,0.64931,0.40355,0.26054,1.20118,3.81792,2.59788,0.000372241,0.000372241,0.000372241
8,41.0137,0.66499,1.35136,1.43272,0.40189,0.34375,0.41646,0.21564,1.80668,2.58035,3.6378,0.000322414,0.000322414,0.000322414
9,44.3673,0.68469,1.20463,1.40052,0.62291,0.82889,0.7496,0.55662,0.99058,1.30163,2.65525,0.000246183,0.000246183,0.000246183
10,49.4165,0.696,1.17006,1.48641,0.69537,0.74741,0.78527,0.56327,1.01015,1.03305,2.64109,0.000143545,0.000143545,0.000143545
