epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.991845,0.79862,2.9246,1.33828,0.0045,0.75,0.17048,0.08593,0.45198,3.01275,0.89674,0.00011669,0.00011669,0.00011669
2,1.79086,0.4142,2.65516,1.14078,0.00407,0.64286,0.47777,0.41022,0.69609,3.01855,1.0119,0.000247575,0.000247575,0.000247575
3,2.61403,0.34428,2.15085,1.0678,0.00339,0.5,0.4975,0.38457,0.61781,2.94043,0.90464,0.000375818,0.000375818,0.000375818
4,3.37274,0.38447,1.71499,1.05289,0.00442,0.64286,0.54778,0.45979,0.86536,2.8845,1.06128,0.000501422,0.000501422,0.000501422
5,4.18247,0.42957,1.34103,1.06606,0.5985,0.5,0.50043,0.30765,0.87688,2.7112,1.14272,0.000624385,0.000624385,0.000624385
6,4.94805,0.44977,1.13992,1.05903,0.96854,0.43827,0.59003,0.48723,0.89129,2.33636,1.15452,0.000744707,0.000744707,0.000744707
7,5.75858,0.36086,0.96521,1.01872,0.97042,0.46787,0.5709,0.47624,0.80196,2.08679,1.12748,0.000862389,0.000862389,0.000862389
8,6.50549,0.363,0.85608,1.01094,0.99805,0.5,0.70321,0.6036,0.71766,1.72293,0.95894,0.00097743,0.00097743,0.00097743
9,7.30071,0.35092,0.79444,0.99707,0.93564,0.44118,0.47562,0.2913,1.57521,2.0547,1.46817,0.00108983,0.00108983,0.00108983
10,8.03682,0.32681,0.73447,0.99976,0.90742,0.59199,0.745,0.58965,0.97474,1.58217,1.18594,0.00119959,0.00119959,0.00119959
11,8.80455,0.36667,0.72846,1.02849,0.7593,0.59404,0.65741,0.48894,1.09968,1.70421,1.3643,0.00130671,0.00130671,0.00130671
12,9.55082,0.3397,0.67337,0.98651,0.57718,0.67857,0.71281,0.46864,1.1658,1.76345,1.61648,0.00141119,0.00141119,0.00141119
13,10.2947,0.33548,0.65373,1.00162,0.71091,0.68487,0.73934,0.5429,1.10573,1.54251,1.92162,0.00146896,0.00146896,0.00146896
14,11.0324,0.32986,0.64416,1.0042,0.52607,0.72059,0.74973,0.54219,0.92227,1.87883,1.37017,0.00145246,0.00145246,0.00145246
15,11.7755,0.31293,0.62057,0.97612,0.70226,0.82526,0.8802,0.62338,0.93311,1.49053,1.32546,0.00143595,0.00143595,0.00143595
16,12.5941,0.33118,0.61407,1.01226,0.59941,0.92857,0.84952,0.50337,1.34968,1.55471,1.67952,0.00141945,0.00141945,0.00141945
17,13.3501,0.34768,0.61901,0.9911,0.73041,0.73474,0.82387,0.45531,1.48796,1.8136,1.89862,0.00140295,0.00140295,0.00140295
18,14.0781,0.31309,0.5901,0.96046,0.63858,0.72059,0.77111,0.42089,1.37374,2.07821,1.72044,0.00138644,0.00138644,0.00138644
19,14.8303,0.33283,0.62457,0.99995,0.7399,0.78571,0.82695,0.5837,0.8825,1.83303,1.21996,0.00136994,0.00136994,0.00136994
20,15.5879,0.31465,0.57352,0.98721,0.49783,0.79922,0.65734,0.40868,1.12075,1.88577,1.3421,0.00135344,0.00135344,0.00135344
21,16.3338,0.33999,0.6433,1.00604,0.4998,0.81139,0.73005,0.4813,1.09861,1.81693,1.24752,0.00133693,0.00133693,0.00133693
22,17.0821,0.32128,0.6261,0.99252,0.87355,0.72435,0.8875,0.67715,0.8855,1.4401,1.15578,0.00132043,0.00132043,0.00132043
23,17.8967,0.30505,0.59558,0.98984,0.92642,0.81517,0.85434,0.70908,0.83923,1.1422,1.1615,0.00130393,0.00130393,0.00130393
24,18.6971,0.30822,0.58403,0.98686,0.84875,0.7563,0.83877,0.65369,1.01974,1.43465,1.35629,0.00128742,0.00128742,0.00128742
25,19.4982,0.2971,0.53057,0.99548,0.75835,0.61975,0.74476,0.55714,1.13948,1.87512,1.42744,0.00127092,0.00127092,0.00127092
26,20.25,0.30359,0.52903,0.98484,0.90394,0.71445,0.78428,0.59922,1.01681,1.35086,1.46492,0.00125442,0.00125442,0.00125442
