epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3302,0.73499,2.09316,1.43777,0.99547,0.5,0.51954,0.51505,0.46034,2.84064,0.8494,0.00011669,0.00011669,0.00011669
2,5.16442,0.52701,1.16038,1.17719,0.77909,0.20588,0.21945,0.06123,2.12469,4.96955,2.68504,0.000247575,0.000247575,0.000247575
3,8.40886,0.64885,1.03976,1.22899,0.29987,0.226,0.16425,0.06125,2.31499,4.2714,2.52937,0.000375818,0.000375818,0.000375818
4,11.5646,0.52357,0.7792,1.15966,0.00196,0.07143,0.00054,0.00015,4.10882,118.099,4.37784,0.000501422,0.000501422,0.000501422
5,15.3398,0.57631,0.80642,1.18098,0.68308,0.17647,0.14118,0.0411,3.15297,6.02541,3.66624,0.000624385,0.000624385,0.000624385
6,18.4904,0.63826,0.83716,1.2177,0.00113,0.02941,0.00013,5e-05,4.88037,47.2429,40.0876,0.000744707,0.000744707,0.000744707
7,21.674,0.58483,0.72309,1.17714,0.00113,0.02941,0.00013,5e-05,nan,nan,nan,0.000862389,0.000862389,0.000862389
8,24.8674,0.56831,0.64151,1.1547,0.00113,0.02941,0.00013,5e-05,nan,nan,nan,0.00097743,0.00097743,0.00097743
9,28.0641,0.52715,0.6306,1.13717,0.00113,0.02941,0.00013,5e-05,nan,nan,nan,0.00108983,0.00108983,0.00108983
10,31.2279,0.59153,0.68167,1.18383,0.00113,0.02941,0.00013,5e-05,nan,nan,nan,0.00119959,0.00119959,0.00119959
11,34.3893,0.52911,0.66119,1.15953,0.00113,0.02941,0.00013,5e-05,nan,nan,nan,0.00130671,0.00130671,0.00130671
12,37.5245,0.57817,0.67135,1.17296,0.00113,0.02941,0.00013,5e-05,nan,nan,nan,0.00141119,0.00141119,0.00141119
13,41.1602,0.50523,0.53724,1.12669,0.00011,0.03571,6e-05,2e-05,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,44.3633,0.54627,0.60926,1.15413,0.00011,0.03571,6e-05,2e-05,5.51593,10.5633,18.6768,0.00145246,0.00145246,0.00145246
15,47.5604,0.50386,0.55778,1.10251,0.50039,0.14286,0.00165,0.00182,3.74407,inf,259.212,0.00143595,0.00143595,0.00143595
16,50.7012,0.55489,0.58207,1.13454,0.00062,0.21429,0.00065,0.00034,4.02481,inf,16.1368,0.00141945,0.00141945,0.00141945
17,53.8733,0.54575,0.56497,1.12723,0.0496,0.32563,0.02368,0.00572,3.58592,72.9126,5.04649,0.00140295,0.00140295,0.00140295
18,57.0367,0.47756,0.53652,1.07248,0.20375,0.12395,0.04896,0.01851,3.8678,13.6996,4.40909,0.00138644,0.00138644,0.00138644
19,60.1898,0.47424,0.61282,1.10843,0.09556,0.30672,0.13839,0.04756,2.77746,27.8999,3.61964,0.00136994,0.00136994,0.00136994
20,63.3668,0.43418,0.49265,1.05788,0.46337,0.46474,0.42595,0.24475,1.93533,7.84098,2.65022,0.00135344,0.00135344,0.00135344
21,66.5146,0.42377,0.49607,1.06921,0.40327,0.60924,0.42404,0.19623,2.05303,5.33086,2.64108,0.00133693,0.00133693,0.00133693
22,70.2881,0.44417,0.52285,1.08095,0.55125,0.53151,0.53109,0.28469,1.80971,4.89195,2.26251,0.00132043,0.00132043,0.00132043
23,73.4364,0.39312,0.50406,1.07149,0.72513,0.51261,0.58432,0.34207,1.52637,3.78308,1.7754,0.00130393,0.00130393,0.00130393
24,77.1892,0.41239,0.49759,1.07076,0.54887,0.65018,0.6161,0.44892,1.13099,2.82228,1.38227,0.00128742,0.00128742,0.00128742
25,80.3421,0.36603,0.44524,1.0532,0.49032,0.43697,0.39417,0.22224,1.85841,4.4942,1.99806,0.00127092,0.00127092,0.00127092
26,83.4877,0.40162,0.47511,1.0452,0.61775,0.59542,0.54639,0.20693,2.10447,4.18037,2.2925,0.00125442,0.00125442,0.00125442
27,86.6425,0.36289,0.44196,1.04346,0.36032,0.55672,0.45869,0.25311,1.62396,4.60008,1.83953,0.00123791,0.00123791,0.00123791
28,89.7604,0.38585,0.48333,1.02199,0.57556,0.59664,0.56611,0.34635,1.33313,2.94109,1.56621,0.00122141,0.00122141,0.00122141
29,92.8874,0.36518,0.45646,1.03434,0.51962,0.73239,0.69281,0.40753,1.37147,2.94373,1.64781,0.00120491,0.00120491,0.00120491
30,96.0138,0.36436,0.40767,1.05208,0.46514,0.79832,0.72701,0.41468,1.25341,6.5688,1.45233,0.0011884,0.0011884,0.0011884
31,99.8586,0.36356,0.46555,1.02212,0.64409,0.66684,0.68678,0.49573,0.94557,2.64118,1.11669,0.0011719,0.0011719,0.0011719
32,102.995,0.34541,0.41303,1.0112,0.82939,0.65473,0.68171,0.55,0.97541,1.92161,1.20491,0.0011554,0.0011554,0.0011554
33,107.313,0.32845,0.40851,1.00511,0.63103,0.62605,0.68687,0.5066,0.95353,2.07995,1.18604,0.00113889,0.00113889,0.00113889
34,110.461,0.32028,0.39203,1.01332,0.74794,0.66901,0.77225,0.60864,0.82856,1.38357,1.10225,0.00112239,0.00112239,0.00112239
35,114.101,0.30486,0.38051,0.98894,0.70315,0.7563,0.70729,0.52054,0.98479,1.6867,1.25848,0.00110589,0.00110589,0.00110589
36,117.871,0.32495,0.41355,1.01182,0.59558,0.62605,0.60808,0.43535,1.06737,2.70961,1.33044,0.00108938,0.00108938,0.00108938
37,121.004,0.30388,0.36532,0.97875,0.57799,0.74533,0.72664,0.56283,0.8474,2.35996,1.09885,0.00107288,0.00107288,0.00107288
38,124.785,0.31225,0.38381,0.99274,0.65649,0.89286,0.74306,0.58752,0.69038,1.46213,0.96652,0.00105638,0.00105638,0.00105638
39,127.919,0.31735,0.39606,0.99371,0.69491,0.76632,0.75295,0.58546,0.69892,1.24133,0.91829,0.00103987,0.00103987,0.00103987
40,131.104,0.31042,0.38022,0.98974,0.77079,0.78571,0.81896,0.63989,0.78194,0.92642,1.02575,0.00102337,0.00102337,0.00102337
41,134.804,0.27777,0.34303,0.96866,0.79837,0.82143,0.81586,0.61894,0.87078,0.95889,1.1416,0.00100687,0.00100687,0.00100687
42,137.949,0.32209,0.377,0.99264,0.83385,0.89286,0.86496,0.7019,0.73629,0.8775,1.01398,0.000990365,0.000990365,0.000990365
43,142.276,0.29595,0.36353,1.02269,0.78787,0.89286,0.78522,0.64647,0.75579,1.15537,1.01656,0.000973861,0.000973861,0.000973861
44,145.404,0.30944,0.35773,0.98698,0.8044,0.79693,0.80819,0.63383,0.81699,1.11858,1.05085,0.000957358,0.000957358,0.000957358
45,148.585,0.29119,0.34066,0.97801,0.78148,0.78571,0.81504,0.63069,0.66091,1.20833,0.89165,0.000940855,0.000940855,0.000940855
46,151.734,0.2944,0.39017,0.97928,0.80072,0.77718,0.80683,0.63848,0.72116,1.19432,0.96117,0.000924352,0.000924352,0.000924352
47,154.902,0.26991,0.33297,0.98051,0.60934,0.86764,0.74778,0.61861,0.66687,1.2329,0.93545,0.000907848,0.000907848,0.000907848
48,158.027,0.2831,0.34073,0.96857,0.74392,0.75,0.77961,0.63411,0.67518,1.11865,0.92571,0.000891345,0.000891345,0.000891345
49,161.165,0.27851,0.31572,0.99194,0.71372,0.89101,0.85128,0.69626,0.63479,0.78573,0.87481,0.000874842,0.000874842,0.000874842
50,164.964,0.27068,0.31962,0.97108,0.74413,0.85714,0.86218,0.72028,0.63268,0.80971,0.84526,0.000858338,0.000858338,0.000858338
51,168.703,0.29556,0.35563,0.97394,0.84508,0.78571,0.84887,0.73039,0.60382,0.75814,0.81329,0.000841835,0.000841835,0.000841835
52,172.373,0.24799,0.31322,0.95418,0.7819,0.82143,0.82246,0.69504,0.59779,0.79964,0.79883,0.000825332,0.000825332,0.000825332
53,175.508,0.2696,0.32565,0.96629,0.84822,0.88733,0.85771,0.69311,0.68187,0.84082,0.88508,0.000808828,0.000808828,0.000808828
54,178.631,0.27229,0.31412,0.96523,0.87297,0.85714,0.85486,0.69992,0.69587,0.77378,0.88879,0.000792325,0.000792325,0.000792325
55,182.44,0.27338,0.31445,0.9758,0.84914,0.82143,0.82537,0.69794,0.64416,0.7359,0.87831,0.000775822,0.000775822,0.000775822
56,185.593,0.24091,0.3085,0.96967,0.80069,0.88193,0.82396,0.68828,0.68688,0.68925,0.94873,0.000759318,0.000759318,0.000759318
57,188.768,0.24359,0.31763,0.96088,0.72506,0.87995,0.79003,0.65617,0.7315,0.86172,0.98554,0.000742815,0.000742815,0.000742815
58,191.904,0.24088,0.28147,0.94501,0.81078,0.81176,0.78554,0.61216,0.66874,1.2671,0.92367,0.000726312,0.000726312,0.000726312
59,195.067,0.24807,0.32846,0.95725,0.82322,0.88516,0.85321,0.60477,0.63267,1.10057,0.88238,0.000709809,0.000709809,0.000709809
60,198.194,0.26268,0.341,0.968,0.86362,0.81489,0.85066,0.63239,0.66046,0.9024,0.90465,0.000693305,0.000693305,0.000693305
61,201.335,0.22775,0.2826,0.96683,0.84253,0.78571,0.828,0.69756,0.68632,0.87216,0.94202,0.000676802,0.000676802,0.000676802
62,205.111,0.2279,0.27466,0.9505,0.82291,0.82143,0.80131,0.69278,0.71756,0.87694,0.95881,0.000660299,0.000660299,0.000660299
63,208.269,0.24621,0.31181,0.95618,0.85315,0.81254,0.79315,0.66603,0.68966,0.88217,0.92527,0.000643795,0.000643795,0.000643795
64,211.468,0.24986,0.31593,0.94639,0.74277,0.85714,0.81688,0.69071,0.63834,0.71347,0.85993,0.000627292,0.000627292,0.000627292
65,214.591,0.22687,0.28506,0.95559,0.76045,0.85714,0.79596,0.67754,0.64531,0.82238,0.88146,0.000610789,0.000610789,0.000610789
66,217.768,0.23559,0.2799,0.95848,0.76796,0.75,0.75157,0.64117,0.61575,0.87049,0.87291,0.000594286,0.000594286,0.000594286
