epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71413,1.72497,4.73235,3.23471,1.57072,0.01279,0.57817,0.21689,0.12042,0.00958,0.51205,0.17097,0.07654,1.86123,3.72048,3.51503,1.50845,0.00046412,0.00046412,0.00046412
2,8.92063,1.76667,3.75718,2.44144,1.52561,0.29774,0.31772,0.22357,0.07959,0.22382,0.19147,0.10877,0.03487,1.75494,3.70023,3.15946,1.52009,0.000931143,0.000931143,0.000931143
3,13.1178,1.70809,3.59824,2.20783,1.50691,0.37402,0.35599,0.2887,0.12221,0.29935,0.28011,0.16838,0.04442,1.89081,3.59061,2.727,1.73319,0.00138873,0.00138873,0.00138873
4,17.3224,1.70738,3.62424,2.17638,1.52735,0.25004,0.44877,0.26828,0.12051,0.20787,0.37789,0.18801,0.07127,1.73426,3.41792,2.39694,1.61271,0.00138656,0.00138656,0.00138656
5,21.6755,1.67995,3.59271,2.11432,1.51203,0.23231,0.4499,0.22238,0.09755,0.16052,0.363,0.14494,0.05756,1.83245,3.07452,2.43191,1.58943,0.00137241,0.00137241,0.00137241
6,25.8649,1.61698,3.58394,2.08179,1.49439,0.35123,0.61439,0.41502,0.24332,0.625,0.35531,0.34431,0.15411,1.61433,3.10289,2.12228,1.51472,0.00135826,0.00135826,0.00135826
7,30.1772,1.6203,3.55947,2.01731,1.46667,0.29541,0.46389,0.33969,0.18799,0.2444,0.38458,0.24012,0.10648,1.64701,2.99455,2.14415,1.39761,0.00134412,0.00134412,0.00134412
8,34.3351,1.5782,3.42165,1.97864,1.43885,0.3577,0.52638,0.36651,0.19754,0.36603,0.41977,0.28572,0.11684,1.69392,3.08153,2.11848,1.45679,0.00132997,0.00132997,0.00132997
9,38.5257,1.55595,3.37927,1.97637,1.42315,0.38365,0.52891,0.4202,0.22765,0.27475,0.45063,0.28535,0.11898,1.64924,2.97159,2.12382,1.49829,0.00131582,0.00131582,0.00131582
10,42.712,1.54204,3.38205,1.93896,1.41279,0.45119,0.51826,0.43444,0.29882,0.38326,0.44288,0.33845,0.16926,1.50594,2.95678,1.94535,1.40553,0.00130168,0.00130168,0.00130168
11,46.9457,1.5475,3.36578,1.90241,1.39697,0.46697,0.53099,0.45232,0.29101,0.42368,0.47985,0.36912,0.17423,1.53169,2.90498,1.93769,1.34849,0.00128753,0.00128753,0.00128753
12,51.1531,1.51743,3.35058,1.8754,1.40657,0.43262,0.58008,0.47625,0.35121,0.38982,0.52606,0.40812,0.22065,1.47891,2.81979,1.89107,1.34644,0.00127338,0.00127338,0.00127338
13,55.4727,1.51102,3.43672,1.87659,1.40854,0.41178,0.58664,0.45071,0.31802,0.36509,0.53718,0.36818,0.19437,1.50657,2.8607,1.8679,1.34282,0.00125923,0.00125923,0.00125923
14,59.7979,1.49955,3.40681,1.8271,1.3925,0.43748,0.51942,0.42696,0.2647,0.37051,0.3802,0.30719,0.14733,1.51218,2.83609,1.97451,1.36706,0.00124509,0.00124509,0.00124509
