epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9671,1.80257,4.63396,2.71296,1.69434,0.08837,0.37478,0.05708,0.0258,0.0521,0.13532,0.02283,0.00884,2.12906,14.2965,8.3813,1.81661,0.00046412,0.00046412,0.00046412
2,26.0053,1.84491,3.83636,2.27596,1.67092,0.11028,0.12287,0.06018,0.03073,0.1084,0.10832,0.04981,0.02317,2.05944,186.984,4.34517,2.90447,0.000931143,0.000931143,0.000931143
3,40.4404,1.88823,3.72444,2.23509,1.69107,0.00061,0.01287,0.00032,0.00011,0.0003,0.0071,0.00016,4e-05,nan,nan,nan,nan,0.00138873,0.00138873,0.00138873
4,53.7618,1.84786,3.69159,2.2402,1.68755,0.04828,0.06923,0.00964,0.00344,0.03132,0.04076,0.0059,0.00199,3.41697,nan,7.43703,3.65488,0.00138656,0.00138656,0.00138656
5,67.7387,1.80376,3.68447,2.17289,1.65773,0.27958,0.43287,0.24595,0.10978,0.21294,0.3433,0.15416,0.05893,2.05096,5.7151,2.55398,1.84982,0.00137241,0.00137241,0.00137241
6,81.5265,1.74011,3.72177,2.14902,1.64386,0.10269,0.18481,0.05984,0.02583,0.0847,0.0905,0.03905,0.01378,2.37211,3.538,3.51575,2.11662,0.00135826,0.00135826,0.00135826
7,94.9138,1.75969,3.62776,2.09247,1.60345,0.35745,0.35332,0.26386,0.14918,0.24105,0.29064,0.16886,0.07039,1.84217,3.214,2.32704,1.63626,0.00134412,0.00134412,0.00134412
8,108.748,1.68808,3.50797,2.0475,1.57104,0.45029,0.46439,0.39501,0.24237,0.37424,0.35457,0.28097,0.12962,1.76803,3.20153,2.23158,1.59383,0.00132997,0.00132997,0.00132997
9,122.565,1.6569,3.4723,2.01953,1.55617,0.25315,0.3753,0.2246,0.10798,0.1776,0.33263,0.12278,0.0461,1.88787,3.33034,2.43714,1.7312,0.00131582,0.00131582,0.00131582
10,135.942,1.62239,3.48899,1.9567,1.52329,0.37546,0.50436,0.36969,0.24983,0.28762,0.39359,0.24444,0.10228,1.76028,3.22047,2.17783,1.5899,0.00130168,0.00130168,0.00130168
11,149.315,1.62846,3.44205,1.96243,1.50845,0.2984,0.4104,0.29255,0.15567,0.2831,0.2944,0.22153,0.08572,1.74582,3.00056,2.1169,1.59693,0.00128753,0.00128753,0.00128753
12,162.67,1.60793,3.44305,1.94198,1.51437,0.36789,0.48696,0.35425,0.2065,0.32978,0.40195,0.25429,0.10413,1.60264,3.06289,2.037,1.53199,0.00127338,0.00127338,0.00127338
13,176.054,1.59571,3.51306,1.93321,1.51178,0.29408,0.5478,0.29629,0.18723,0.25289,0.43844,0.23403,0.10347,1.85099,3.20282,2.64238,1.59314,0.00125923,0.00125923,0.00125923
14,189.66,1.5975,3.51323,1.91791,1.50452,0.43353,0.39403,0.36267,0.27368,0.43436,0.36736,0.30534,0.16765,1.614,2.98738,2.24456,1.49665,0.00124509,0.00124509,0.00124509
15,203.514,1.60581,3.43301,1.8991,1.50234,0.4268,0.48073,0.40556,0.26409,0.36257,0.4447,0.32169,0.14727,1.57077,3.08857,2.44686,1.45097,0.00123094,0.00123094,0.00123094
16,216.902,1.58221,3.41003,1.86666,1.48144,0.32297,0.48047,0.32554,0.22429,0.2951,0.40414,0.26481,0.13399,1.54472,2.91811,2.08907,1.4284,0.00121679,0.00121679,0.00121679
17,230.255,1.54242,3.38565,1.88157,1.47832,0.36272,0.52693,0.37745,0.26492,0.29881,0.4333,0.2815,0.14191,1.70562,3.04524,2.35142,1.50447,0.00120265,0.00120265,0.00120265
18,243.631,1.53714,3.38964,1.8492,1.46516,0.39937,0.57321,0.42507,0.2989,0.35676,0.49293,0.32993,0.17056,1.56175,2.98076,1.95695,1.4751,0.0011885,0.0011885,0.0011885
19,257.462,1.52863,3.37557,1.82067,1.45833,0.4347,0.55408,0.46258,0.33031,0.36559,0.46606,0.35819,0.18199,1.72411,3.03146,1.99563,1.48704,0.00117435,0.00117435,0.00117435
20,271.975,1.52635,3.37359,1.80999,1.4483,0.37557,0.56123,0.38415,0.24889,0.3176,0.45336,0.28665,0.13653,1.56233,2.77733,1.92711,1.44337,0.00116021,0.00116021,0.00116021
21,285.343,1.49038,3.35232,1.79915,1.43392,0.41392,0.54551,0.42258,0.28922,0.39471,0.47033,0.33053,0.1636,1.5437,2.83623,1.90215,1.42931,0.00114606,0.00114606,0.00114606
22,299.349,1.51048,3.34015,1.77869,1.44261,0.35635,0.57937,0.42758,0.32161,0.31901,0.47964,0.34706,0.18594,1.57359,2.93666,1.9464,1.4001,0.00113191,0.00113191,0.00113191
23,312.671,1.50802,3.35885,1.82415,1.45463,0.35059,0.59881,0.37727,0.26256,0.33051,0.45313,0.29956,0.15637,1.59135,2.8433,1.98019,1.44342,0.00111776,0.00111776,0.00111776
24,326.001,1.47996,3.33153,1.77802,1.4281,0.40839,0.55508,0.45504,0.3465,0.34219,0.48843,0.36879,0.19867,1.51474,2.97812,1.91109,1.39371,0.00110362,0.00110362,0.00110362
25,339.854,1.45919,3.29176,1.75501,1.4165,0.41264,0.57061,0.43318,0.31724,0.36772,0.49015,0.34908,0.17914,1.51001,2.8662,1.85608,1.37904,0.00108947,0.00108947,0.00108947
26,353.846,1.46851,3.31547,1.7692,1.42825,0.37911,0.61755,0.47101,0.35112,0.34189,0.54508,0.35994,0.20216,1.4616,2.83567,1.81949,1.35257,0.00107532,0.00107532,0.00107532
27,367.664,1.46234,3.25514,1.74572,1.40966,0.41978,0.62918,0.4688,0.33738,0.39138,0.54441,0.38736,0.19914,1.47665,2.88888,1.86595,1.37233,0.00106118,0.00106118,0.00106118
28,381.046,1.45952,3.29695,1.74721,1.40061,0.35557,0.65234,0.42618,0.29757,0.32303,0.52595,0.34476,0.18504,1.51293,2.88613,1.97965,1.4072,0.00104703,0.00104703,0.00104703
29,394.515,1.42938,3.25137,1.73863,1.38543,0.44238,0.52542,0.45663,0.35246,0.38943,0.45503,0.34498,0.19071,1.34907,2.70704,1.80886,1.30542,0.00103288,0.00103288,0.00103288
30,408.543,1.45541,3.25468,1.75394,1.40057,0.43537,0.60938,0.4625,0.33558,0.38554,0.53125,0.36825,0.1952,1.46536,2.82395,1.82697,1.39553,0.00101873,0.00101873,0.00101873
31,421.873,1.42458,3.19857,1.707,1.38862,0.40895,0.60775,0.49412,0.36269,0.36582,0.51005,0.3611,0.1932,1.40975,2.76723,1.80723,1.3269,0.00100459,0.00100459,0.00100459
32,436.32,1.44613,3.25567,1.71949,1.38788,0.41174,0.58133,0.45566,0.3437,0.37411,0.53346,0.39334,0.19843,1.3842,2.73168,1.80513,1.30965,0.00099044,0.00099044,0.00099044
33,449.608,1.39695,3.22166,1.69131,1.37644,0.45202,0.58587,0.49423,0.37624,0.45037,0.49737,0.42073,0.21003,1.40854,2.73845,1.77167,1.32882,0.000976293,0.000976293,0.000976293
34,464.083,1.39237,3.17045,1.67804,1.37457,0.39181,0.65367,0.42613,0.30763,0.34783,0.48684,0.33272,0.17573,1.39231,2.72515,1.78789,1.32328,0.000962146,0.000962146,0.000962146
